Code INV_Variété dans le fichier,Code varieties dans la nomenclature ouverte des variétés (http://open-nomenclature.org/nomenclatures/varieties)
21022,corylus_avellana_ennis
21001,corylus_avellana_fertile
21025,corylus_avellana_jemstegaard
21100,corylus_avellana
21003,corylus_avellana_ronde_de_piemont
21024,corylus_avellana_pauetet
21020,corylus_avellana_tonda_giffoni
21021,corylus_avellana_butler
21023,corylus_avellana_corabel
21002,corylus_avellana_merveille
21004,corylus_avellana_segorbe
21005,corylus_avellana_negret
21998,corylus_avellana
21999,corylus_avellana
22030,juglans_regia_lara
22001,juglans_regia_franquette
22031,juglans_regia_fernor
22998,juglans_regia
22999,juglans_regia
22051,juglans_regia_chandler
21026,corylus_avellana_feriale
21027,corylus_avellana_lewis
21068,corylus_avellana_howard
