Code Type,Libellé
00,Inconnu
10,Bison
12,Abondance
14,Aubrac
15,Jersiaise
17,Angus
18,Ayrshire
19,Pie Rouge
20,Buffle
21,Brune
23,Salers
24,Bazadaise
25,Blanc Bleu
26,Bordelaise
29,Bretonne P.N.
30,Aurochs
31,Tarentaise
32,Chianina
33,Lourdaise
34,Limousine
35,Simmental Fr.
36,Corse
37,Raco di Biou
38,Charolaise
39,Croise
41,Rouge d Pres
42,Dairy Short.
43,Armoricaine
44,Divers Lait
45,South Devon
46,Montbéliarde
48,Divers Viande
49,Marchigiana
51,De Combat
52,Bleue Du Nord
53,Villard Lans
54,N‘ Dama
55,Creole
56,Normande
57,Vosgienne
58,Maraichine
61,Bearnaise
63,Rouge Flamande
65,Ferrandaise
66,Prim’Holstein
69,Froment Leon
71,Parthenaise
72,Gasconne
73,Galloway
74,Guernesey
75,Piemontaise
76,Nantaise
77,Mirandaise
78,Gelbvieh
79,Blonde Aquit.
81,Brahma
82,Herens
85,Hereford
86,Highland Cattle
88,Saosnoise
92,Canadienne
95,Inra 95
97,Casta
